"";"rt";"subject";"condition";"condition_code";"measure";"measure_code";"val";"type";"type_specific";"category";"cs_selected";"target";"nr_pres";"response"
"8491";947,374999988824;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS3";"10";14;1
"8495";1093,68000016548;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS6";"2";15;1
"8499";1063,41500021517;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS9";"35";16;0
"8503";832,660000072792;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS4";"42";17;0
"8507";560,730000026524;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS5";"34";18;0
"8511";873,214999912307;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS6";"48";19;1
"8515";1488,73500013724;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS5";"6";20;0
"8519";748,859999934211;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"1";"1/CS7";"8";21;1
"8523";387,115000048652;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS8";"29";22;1
"8527";412,149999989197;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS4";"31";23;0
"8532";1052,95499996282;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS7";"15";24;1
"8536";809,224999975413;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS3";"46";25;0
"8540";860,790000064299;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"4";"4/CS10";"22";26;0
"8544";847,62499993667;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS3";"21";27;1
"8548";1051,29499989562;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS8";"39";28;1
"8552";510,83999988623;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"abstract";"3";"3/wang";"20";29;0
"8556";1333,53000017814;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"abstract";"4";"4/lin";"27";30;0
"8560";596,025000093505;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"abstract";"2";"2/men";"36";31;0
"8564";631,770000094548;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS2";"19";32;1
"8568";1578,34500004537;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS8";"3";33;0
"8572";844,750000163913;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS2";"45";34;1
"8576";1016,39999984764;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS4";"13";35;1
"8580";1813,71500017121;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS1";"16";36;0
"8584";1328,13000003807;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS1";"43";37;0
"8588";825,535000069067;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS3";"12";38;0
"8592";815,715000033379;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS2";"32";39;0
"8596";850,669999839738;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS1";"40";40;1
"8600";684,714999981225;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS1";"41";41;1
"8604";638,44499993138;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"4";"4/CS2";"23";42;1
"8608";536,240000044927;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"abstract";"1";"1/ma";"28";43;0
"8612";880,200000014156;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS3";"1";44;0
"8616";1006,10999995843;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS2";"33";45;1
"8620";855,3949999623;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS1";"30";46;1
"8624";1032,20500005409;"3uzo9du3nx";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS2";"14";47;1
"8774";4302,79499990866;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS1";"27";0;1
"8778";1260,94500022009;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS9";"39";1;0
"8782";670,285000000149;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS3";"11";2;0
"8786";267,44500012137;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS4";"38";3;0
"8790";313,890000106767;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS8";"40";4;1
"8794";356,505000032485;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS6";"3";5;1
"8798";225,555000128224;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS3";"28";6;1
"8802";227,470000041649;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS3";"36";7;0
"8806";345,489999977872;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS6";"20";8;0
"8810";299,915000097826;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS9";"19";9;1
"8814";325,474999845028;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"1";"1/CS8";"25";10;0
"8818";194,929999997839;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"1";"1/CS2";"43";11;0
"8822";193,17499990575;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS5";"48";12;1
"8826";203,445000108331;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS6";"30";13;0
"8830";345,399999991059;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"4";"4/CS1";"37";14;1
"8834";305,99999986589;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS8";"34";15;1
"8838";302,260000025854;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS3";"26";16;1
"8842";333,894999930635;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"1";"1/CS7";"44";17;0
"8846";366,269999882206;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS5";"9";18;1
"8850";204,909999854863;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS7";"45";19;0
"8854";469,329999992624;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS4";"15";20;1
"8858";375,965000130236;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS7";"42";21;1
"8862";748,320000013337;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS10";"8";22;1
"8866";547,93499992229;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS4";"4";23;0
"8871";291,269999928772;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS1";"2";24;1
"8875";297,775000100955;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS4";"32";25;1
"8879";251,260000048205;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS1";"14";26;1
"8883";238,654999993742;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"4";"4/CS10";"23";27;1
"8887";282,339999917895;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS3";"33";28;1
"8891";369,320000056177;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS10";"10";29;0
"8895";483,689999906346;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS1";"35";30;0
"8899";255,725000053644;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS2";"16";31;1
"8903";246,240000007674;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS5";"13";32;1
"8907";159,699999960139;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS1";"18";33;1
"8911";124,749999959022;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS3";"22";34;1
"8915";101,129999849945;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS3";"21";35;1
"8919";270,060000009835;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"abstract";"4";"4/lin";"6";36;1
"8923";305,644999956712;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS2";"17";37;1
"8927";244,725000113249;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS2";"5";38;0
"8931";481,690000044182;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"abstract";"1";"1/ma";"47";39;0
"8935";510,58500004001;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS3";"12";40;1
"8939";243,709999835119;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS1";"1";41;0
"8943";156,124999979511;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS1";"24";42;0
"8947";263,559999875724;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS2";"41";43;1
"8951";173,245000187308;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"abstract";"3";"3/wang";"29";44;0
"8955";118,365000002086;"3vfjglht24";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS8";"31";45;0
"8959";262,615000130609;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"4";"4/CS7";"46";46;1
"8963";324,80000006035;"3vfjglht24";"many_one";"0";"direct_first";"1";"pos";"GS";"abstract";"2";"2/men";"7";47;1
"9113";2692,20499997027;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS9";"8";0;0
"9117";1391,43000001786;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS8";"39";1;0
"9121";1108,95500000333;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS10";"22";2;1
"9125";505,279999983031;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"1";"1/CS5";"4";3;0
"9129";1510,91000001179;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS1";"46";4;0
"9133";798,275000008289;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"1";"1/CS7";"13";5;1
"9137";1806,38999998337;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS10";"40";6;0
"9141";570,209999976214;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS9";"32";7;1
"9145";470,510000013746;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS7";"3";8;1
"9149";561,84999999823;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS3";"18";9;0
"9153";1155,58500000043;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS7";"33";10;0
"9157";186,204999976326;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS1";"2";11;1
"9161";23,7199999974109;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"1";"1/CS10";"35";12;0
"9165";128,399999986868;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS4";"7";13;1
"9169";8,47000000067055;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"4";"4/CS6";"30";14;0
"9173";102,194999984931;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS2";"19";15;1
"9177";25,324999995064;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"4";"4/CS4";"12";16;1
"9181";262,225000013132;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS1";"26";17;0
"9185";258,75499995891;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS3";"43";18;1
"9189";188,540000002831;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS8";"31";19;1
"9193";177,144999965094;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"3";"3/CS2";"9";20;0
"9197";175,870000035502;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS6";"11";21;0
"9201";245,244999998249;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"CS";"CS";"2";"2/CS9";"44";22;1
"9205";244,609999994282;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"CS";"CS";"1";"1/CS6";"17";23;0
"9210";480,009999999311;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS1";"28";24;0
"9214";314,085000019986;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS1";"48";25;1
"9218";361,795000033453;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS6";"20";26;0
"9222";353,309999976773;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"abstract";"4";"4/lin";"1";27;1
"9226";287,335000000894;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"abstract";"1";"1/ma";"42";28;0
"9230";337,865000008605;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS8";"21";29;0
"9234";391,430000017863;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS5";"37";30;1
"9238";365,144999988843;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS1";"38";31;1
"9242";474,719999998342;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS1";"41";32;1
"9246";359,709999989718;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS2";"25";33;0
"9250";385,940000007395;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS1";"15";34;0
"9254";465,359999972861;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS2";"5";35;1
"9258";288,984999991953;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"2";"2/CS2";"14";36;1
"9262";698,23500001803;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS2";"45";37;1
"9266";358,074999996461;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"2";"2/GS3";"34";38;1
"9270";396,810000005644;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"4";"4/CS8";"10";39;0
"9274";324,655000003986;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"abstract";"3";"3/wang";"23";40;0
"9278";316,699999966659;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS2";"36";41;0
"9282";405,944999947678;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"abstract";"2";"2/men";"24";42;1
"9286";313,844999996945;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSold";"3";"3/CS5";"6";43;0
"9290";629,51499997871;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"1";"1/GS3";"16";44;0
"9294";280,634999973699;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSnew";"4";"4/GS3";"27";45;1
"9298";227,974999987055;"47b8s69lm4";"many_one";"0";"direct_first";"1";"neg";"GS";"GSnew";"3";"3/GS3";"29";46;0
"9302";287,290000007488;"47b8s69lm4";"many_one";"0";"direct_first";"1";"pos";"GS";"GSold";"4";"4/CS3";"47";47;1
"9403";2938;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS6";"42";0;0
"9407";2825;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS5";"41";1;1
"9411";3910;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"CS";"CS";"1";"1/CS10";"48";2;0
"9415";2819;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"4";"4/CS2";"15";3;1
"9419";2865;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS4";"35";4;0
"9423";2726;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS4";"33";5;0
"9427";1541;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"4";"4/CS3";"1";6;1
"9431";1248;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"1";"1/CS7";"4";7;1
"9435";1750;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS3";"40";8;1
"9439";1615;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS7";"12";9;1
"9443";1214;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS10";"20";10;0
"9447";2152;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"4";"4/CS5";"2";11;0
"9451";1735;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"CS";"CS";"4";"4/CS7";"39";12;1
"9455";1423;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS2";"10";13;0
"9459";1120;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS6";"29";14;1
"9463";4076;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS9";"22";15;1
"9468";2979;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS3";"34";16;1
"9472";1096;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS2";"45";17;0
"9476";902;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"abstract";"1";"1/ma";"13";18;1
"9480";2086;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS3";"37";19;1
"9484";947;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"abstract";"2";"2/men";"21";20;0
"9488";1273;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"abstract";"4";"4/lin";"24";21;1
"9492";1419;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS1";"17";22;1
"9496";1298;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"3";"3/GS1";"5";23;1
"9500";792;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"2";"2/GS2";"30";24;0
"9504";2228;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"4";"4/GS3";"36";25;0
"9508";1445;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"abstract";"3";"3/wang";"3";26;1
"9512";1436;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS1";"7";27;1
"9516";1344;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"4";"4/GS2";"44";28;1
"9520";914;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS3";"46";29;0
"9524";1022;"48wr3g197w";"one_one";"1";"indirect_first";"0";"pos";"GS";"GSnew";"1";"1/GS2";"9";30;0
"9528";536;"48wr3g197w";"one_one";"1";"indirect_first";"0";"neg";"GS";"GSnew";"4";"4/GS1";"19";31;0
"9662";9454,72000003792;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS9";"42";0;0
"9666";4533,54999981821;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS6";"2";1;0
"9670";2620,9399998188;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS10";"27";2;1
"9674";1108,80499985069;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"3";"3/CS5";"10";3;1
"9678";2980,55500001647;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS5";"3";4;0
"9682";2393,55000015348;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS9";"46";5;0
"9686";1772,9400000535;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS2";"22";6;1
"9690";3535,97000008449;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS5";"6";7;0
"9694";5804,41999994218;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS7";"15";8;0
"9698";2684,51000005007;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"2";"2/CS4";"20";9;0
"9702";2872,43999983184;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS2";"23";10;1
"9706";1650,36500012502;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS4";"18";11;0
"9710";2140,20500006154;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS10";"17";12;0
"9714";2830,70500008762;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS10";"36";13;0
"9718";1397,21500012092;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS8";"19";14;1
"9722";2315,4349999968;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS8";"25";15;0
"9726";1847,77500014752;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"3";"3/CS3";"9";16;0
"9730";1368,75499994494;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS7";"39";17;0
"9734";1987,48999997042;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"3";"3/CS6";"21";18;1
"9738";1205,09500009939;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"2";"2/CS1";"12";19;1
"9742";1485,63000001013;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"3";"3/CS2";"11";20;1
"9746";1735,35999981686;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS7";"45";21;0
"9750";2852,34500002116;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS9";"1";22;0
"9754";3795,54499988444;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS6";"43";23;1
"9759";2468,46999996342;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS2";"31";24;0
"9763";1877,37000011839;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"abstract";"4";"4/lin";"5";25;1
"9767";3224,22500001267;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"abstract";"3";"3/wang";"41";26;1
"9771";2671,54500004835;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"3";"3/GS1";"30";27;0
"9775";1851,75999999046;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"3";"3/GS3";"16";28;0
"9779";1341,57499996945;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS3";"4";29;0
"9783";3245,98499992862;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"1";"1/GS3";"47";30;0
"9787";1126,27999996766;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS7";"33";31;1
"9791";1026,254999917;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS1";"40";32;1
"9795";2489,07999997027;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS2";"32";33;1
"9799";2125,7199998945;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"2";"2/GS1";"37";34;0
"9803";2266,88999985345;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"2";"2/GS2";"24";35;0
"9807";4281,01500007324;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"4";"4/GS1";"34";36;1
"9811";2005,97000005655;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"4";"4/CS8";"35";37;1
"9815";2393,20499985479;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"abstract";"2";"2/men";"38";38;0
"9819";2925,4550000187;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"1";"1/CS3";"44";39;1
"9823";1507,94999999925;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSnew";"2";"2/GS3";"29";40;1
"9827";4893,69500009343;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"1";"1/GS2";"26";41;0
"9831";1718,44999981113;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"2";"2/CS6";"28";42;0
"9835";1696,02999999188;"4d661end2v";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"2";"2/CS3";"14";43;0
"9839";1625,85499999113;"4d661end2v";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSnew";"1";"1/GS1";"8";44;0
